order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit,discount_rate,expected_revenue,revenue_gap,profit_margin,loss_flag,month,year,Size_Apparel,size_apparel
2000,Kids,Training,SuperRep Go,M,2.0,5280.57,0.47,0.0,2024-03-09,Online,bengaluru,-770.45,0.47,10561.14,10561.14,0.0,Loss,3,2024,M,M
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,0.0,2024-07-09,Retail,Hyd,-112.53,0.0,14873.79,14873.79,0.0,Loss,7,2024,M,M
2014,Women,Running,React Infinity,11,2.0,6492.155000000001,0.0,0.0,2025-04-12,Online,Bangalore,-1044.4,0.0,12984.310000000001,12984.310000000001,0.0,Loss,4,2025,L,L
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6383.24,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64,0.16,6383.24,6383.24,0.0,Profit,8,2024,XL,XL
2029,Men,Training,ZoomX Invincible,12,0.0,6897.68,0.0,0.0,2023-10-28,Online,Bangalore,-185.67,0.0,0.0,0.0,0.0,Loss,10,2023,XL,XL
2031,Men,Soccer,Premier III,,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7,0.82,13972.16,11457.17,0.13944389440912291,Profit,5,2024,XL,XL
2043,Men,Soccer,Premier III,XL,2.0,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75,0.77,6985.78,6985.78,0.0,Profit,5,2024,XL,XL
2044,Kids,Training,SuperRep Go,,2.0,5280.57,0.0,0.0,2023-09-06,Online,Delhi,2174.71,0.0,10561.14,10561.14,0.0,Profit,9,2023,XL,XL
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6202.99,0.0,0.0,2025-04-06,Retail,Delhi,1833.94,0.0,24811.96,24811.96,0.0,Profit,4,2025,XL,XL
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,0.0,2024-06-13,Retail,Bangalore,2888.68,0.0,8577.75,8577.75,0.0,Profit,6,2024,L,L
2051,Women,Basketball,Air Jordan,XL,2.0,6235.71,0.37,0.0,2024-01-05,Retail,Delhi,3135.98,0.37,12471.42,12471.42,0.0,Profit,1,2024,XL,XL
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.0,0.0,2024-10-08,Retail,Pune,2184.8,0.0,27467.879999999997,27467.879999999997,0.0,Profit,10,2024,L,L
2056,Men,Running,React Infinity,L,3.0,6492.155000000001,0.0,0.0,2024-05-31,Retail,Bangalore,-244.44,0.0,19476.465000000004,19476.465000000004,0.0,Loss,5,2024,L,L
